participant_id,task_type,control,extension,diff_s,speedup_pct
84,find,45.391,24.809,20.581999999999997,45.3
84,guide,63.01,180.0,-116.99000000000001,-185.7
84,hide,148.732,26.996,121.736,81.8
85,find,15.844,29.422,-13.578000000000001,-85.7
85,guide,24.597,46.439,-21.842,-88.8
85,hide,48.68,27.341,21.339,43.8
86,find,41.532,32.526,9.005999999999993,21.7
86,guide,38.825,63.27,-24.445,-63.0
86,hide,52.919,20.92,31.998999999999995,60.5
87,find,33.253,47.582,-14.329,-43.1
87,guide,130.937,180.003,-49.065999999999974,-37.5
87,hide,132.972,48.45,84.522,63.6
88,find,99.028,180.028,-80.99999999999999,-81.8
88,guide,164.567,102.559,62.00800000000001,37.7
88,hide,45.149,41.385,3.764000000000003,8.3
89,find,67.924,70.569,-2.644999999999996,-3.9
89,guide,29.168,116.822,-87.654,-300.5
89,hide,68.043,42.133,25.910000000000004,38.1
90,find,72.225,97.985,-25.760000000000005,-35.7
90,guide,174.647,154.426,20.221000000000004,11.6
90,hide,123.807,66.149,57.658,46.6
91,find,56.721,65.785,-9.064,-16.0
91,guide,180.998,88.809,92.189,50.9
91,hide,128.309,31.746,96.563,75.3
92,find,22.114,25.036,-2.9220000000000006,-13.2
92,guide,92.345,59.094,33.251,36.0
92,hide,84.165,15.229,68.936,81.9
93,find,92.697,40.596,52.101000000000006,56.2
93,guide,38.984,83.776,-44.791999999999994,-114.9
93,hide,98.395,68.162,30.23299999999999,30.7
94,find,128.745,118.457,10.288000000000011,8.0
94,guide,44.643,119.454,-74.81099999999999,-167.6
94,hide,44.256,51.709,-7.453000000000003,-16.8
95,find,73.212,180.001,-106.789,-145.9
95,guide,139.343,153.165,-13.822000000000003,-9.9
97,find,41.386,131.177,-89.791,-217.0
97,guide,25.556,119.091,-93.535,-366.0
97,hide,32.9,40.848,-7.948,-24.2
98,find,87.955,36.365,51.589999999999996,58.7
98,guide,52.367,180.01,-127.643,-243.7
98,hide,180.014,16.95,163.06400000000002,90.6
99,find,51.508,51.281,0.22700000000000387,0.4
99,guide,47.8,121.074,-73.274,-153.3
